wdpa_id,name,designation,desig_type,no_take,iucn_cat,iso3
555578794,Park prirode Telašćica,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,HRV
555578835,Tegnùe di Porto Falconera,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,ITA
555578825,Park prirode Lastovsko otočje,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,HRV
555577746,Akvatorij zapadne Istre,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,HRV
555578664,Biševo more,Site of Community Importance (Habitats Directive),Regional,Not Reported,Not Reported,HRV
555578785,Viški akvatorij,Site of Community Importance (Habitats Directive),Regional,Not Reported,Not Reported,HRV
555578844,Secche della Meloria,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,ITA
555578853,Fondali Marini di Baia,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,ITA
555578834,Tegnùe di Chioggia,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,ITA
555578714,Cres - Lošinj,Site of Community Importance (Habitats Directive),Regional,Not Reported,Not Reported,HRV
555577747,Kvarnerski otoci,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,HRV
555578867,Fondali del Plemmirio,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,ITA
555578863,Fondali delle Isole Pelagie,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,ITA
555580310,NISOS GYAROS KAI THALASSIA ZONI,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,GRC
555580461,Laguna di Marano e Grado,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ITA
555580598,Litorale di Gallipoli e Isola S. Andrea,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ITA
555580583,"Fondali marini di Ischia, Procida e Vivara",Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ITA
555578886,Żona fil-Baħar bejn Il-Ponta ta’ San Dimitri (Għawdex) u Il-Qaliet,Site of Community Importance (Habitats Directive),Regional,Not Reported,Not Reported,MLT
555580768,Aiguamolls de l'Alt Empordà,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ESP
555583112,Espacio marino de la Ria de Mundaka-Cabo de Ogoño,Marine Protected Area (OSPAR),Regional,Not Reported,Not Reported,ESP
555578750,Lastovski i Mljetski kanal,Site of Community Importance (Habitats Directive),Regional,Not Reported,Not Reported,HRV
555580620,Arcipelago La Maddalena,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ITA
555583114,Espacio marino de Cabo Peñas,Marine Protected Area (OSPAR),Regional,Not Reported,Not Reported,ESP
555580776,Delta de l'Ebre,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ESP
555588820,Estrecho,Natura 2000,National,Not Reported,IV,ESP
555588831,Alborán,Natura 2000,National,Not Reported,IV,ESP
555588918,Acantilados de Maro-Cerro Gordo,Natura 2000,National,Not Reported,IV,ESP
555588884,Acantilados y Fondos Marinos de Calahonda-Castell de Ferro,Natura 2000,National,Not Reported,IV,ESP
555583113,Espacio marino de los Islotes de Portios - Isla Conejera - Isla de Mouro,Marine Protected Area (OSPAR),Regional,Not Reported,Not Reported,ESP
555588805,Cabo de Gata-Nijar,Natura 2000,National,Not Reported,IV,ESP
555588883,Acantilados y Fondos Marinos Tesorillo-Salobreña,Natura 2000,National,Not Reported,IV,ESP
555588857,Fondos Marinos Marismas del Río Palmones,Natura 2000,National,Not Reported,IV,ESP
555578823,Akvatorij zapadne Istre,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,HRV
555578747,J. Molat-Dugi-Kornat-Žirje-Zlarin-Murter-Pašman-Ugljan-Rivanj-Sestrunj-Molat,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,HRV
555589823,Żona fil-Baħar fil-Grigal,Special Protection Areas,National,Not Reported,IV,MLT
555589824,Żona fil-Baħar fil-Lvant,Special Protection Areas,National,Not Reported,IV,MLT
555589828,Żona fil-Baħar fil-Lbiċ,Special Protection Areas,National,Not Reported,IV,MLT
555589831,Żona fil-Baħar fil-Punent,Special Areas of Conservation - International Importance,National,Not Reported,IV,MLT
555589825,Żona fil-Baħar fix-Xlokk,Special Protection Areas,National,Not Reported,IV,MLT
555592921,Espacio marino de Cabo Roig,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ESP
555593029,Sistema de cañones submarinos de Avilés,Site of Community Importance (Habitats Directive),Regional,Not Reported,Not Reported,ESP
555592920,Espacio marino del Cabo de les Hortes,Site of Community Importance (Habitats Directive),Regional,Not Reported,Not Reported,ESP
555593031,Sistema de cañones submarinos occidentales del Golfo de León,Site of Community Importance (Habitats Directive),Regional,Not Reported,Not Reported,ESP
555593035,Espacio marino de Alborán,Site of Community Importance (Habitats Directive),Regional,Not Reported,Not Reported,ESP
555593019,Emona,Site of Community Importance (Habitats Directive),Regional,Not Reported,Not Reported,BGR
555593033,Sur de Almería - Seco de los Olivos,Site of Community Importance (Habitats Directive),Regional,Not Reported,Not Reported,ESP
555589829,Żona fil-Baħar madwar Għawdex,Special Protection Areas,National,Not Reported,IV,MLT
555593024,Espacio marino de Tabarca,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ESP
555593036,Espacio marino de Ifac,Site of Community Importance (Habitats Directive),Regional,Not Reported,Not Reported,ESP
555593054,Bahía de Málaga-Cerro Gordo,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ESP
555593055,Espacio marino de la Isla de Alborán,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ESP
555593044,Espacio marino de los Islotes de Portios-Isla Conejera-Isla de Mouro,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ESP
555593057,Espacio marino de los Islotes Litorales de Murcia y Almería,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ESP
